BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,if the isp does not have 250 users within the first 90 days we will charge $25.00 each month thereafter.,if the isp does not have 250 users within the first 90 days,Happens,conditional,not,if EVENT
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT,"the sponsor shall have the right to terminate this agreement on written notice to racing if any driver, the general manager or any other member of racing fails to conduct himself/herself in accordance with generally accepted standards of morality","if any driver, the general manager or any other member of racing (i) fails to conduct himself/herself in accordance with generally accepted standards of morality,",termination power,conditional,not,if EVENT
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"in case the goods are to be dispatched by parcel post/sea-freight, the sellers shall, 3 days before the time of delivery, inform the buyers by cable/letter of the estimated date of delivery, contract no., commodity, invoiced value, etc.",in case the goods are to be dispatched by parcel post/sea-freight,Happens,conditional,,in case EVENT
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,such payment shall be deducted from the current month's freight and be topped up by party b in case of inadequacy.,in case of inadequacy.,Happens,conditional,,in case EVENT
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement,"in case developer terminates the agreement, it shall handover the entire project related ipr, work done till date to val.",in case developer terminates the agreement,Happens,conditional,,in case EVENT
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"in case the sellers fail to make delivery ten weeks later than the time of shipment stipulated in the contract, the buyers have the right to cancel the contract and the sellers, in spite of the cancellation, shall still pay the aforesaid penalty to the buyers without delay, the seller should refund the money received and pay the 30% of the total goods price of the penalty 19.",in case the sellers fail to make delivery ten weeks later than the time of shipment stipulated in the contract,Happens,conditional,not,in case EVENT
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,"in case no settlement can be reached through consultation within 30 days after one party ask for consultation, each party can submit such matter to china international economic and trade arbitration commission (the ""cietac"") in accordance with its rules, and the arbitration proceedings shall be conducted in chinese and shall take place in beijing.",in case no settlement can be reached through consultation within 30 days after one party ask for consultation,Happens,conditional,not,in case EVENT
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,"in case the contract cannot be performed due to any reason other than the architect herein, the client agrees the fees paid will not be refunded.",in case the contract cannot be performed due to any reason other than the architect herein,Happens,conditional,not,in case EVENT
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT","o in event of cancellation of a purchase order, or re-scheduling of any item on a purchase order beyond the discount period, comware may be liable for bill back or adjustment of discounts based upon actual quantities of items delivered within the discount period.",in event of cancellation of a purchase order,Happens,conditional,not,in the event EVENT
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,"(b) in the event the company is in default hereunder or under the lease, lessor may elect to terminate this agreement immediately, which shall be effective upon the receipt of written notice thereof by the company.",in the event the company is in default hereunder or under the lease,termination power,conditional,,in the event EVENT
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT,"in the event the professional should for any reason become a non-exempt pga tour player, the company shall have the right to terminate this agreement at its discretion at any time during the initial term or any extension thereof.",in the event the professional should for any reason become a non-exempt pga tour player,termination power,conditional,,in the event EVENT
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2,"in the event such audit discloses non-compliance with this agreement, customer shall promptly pay to cisco the appropriate license fees.",in the event such audit discloses non-compliance with this agreement,Happens,conditional,,in the event EVENT
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT","in the event comware purchases an amount less than $45,420.00, than this agreement will automatically terminate.","in the event comware purchases an amount less than $45,420.00",termination power (auto),conditional,,in the event EVENT
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT,this agreement shall automatically terminate in the event the management agreement is assigned or otherwise terminated.,in the event the management agreement is assigned or otherwise terminated,termination power (auto),conditional,,in the event EVENT
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","(b) upon the occurrence of bankruptcy of the other party, breach of confidentiality, government legislative interference, or force majeure extending beyond sixty (60) days, either party may immediately terminate the agreement.",upon the occurrence of bankruptcy of the other party,termination power,conditional,,in the event EVENT
Meat sale,"In the event of late payment of the amount owed due, the Buyer shall pay interests equal to 8 percent of the payment amount",In the event of late payment of the amount owed due,Happens,conditional,,in the event EVENT
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"in the event of parcel damage resulting from leakage or fire, party b shall indemnify at the standard rate of rmb200 per parcel, and indemnify the actual price for high-end insured parcel (or indemnify by the value of the parcel provided by arbitration department determined by party a).",in the event of parcel damage resulting from leakage or fire,Happens,conditional,,in the event EVENT
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,"in the event of a breach of this agreement by the company, the endorsement may be withdrawn by agi in its sole discretion and this agreement terminated pursuant to the terms of section 3b.",in the event of a breach of this agreement by the company,termination power,conditional,,in the event EVENT
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"in the event of loss caused to party a by delivery delay due to vehicles detention for the lack of license, party b shall compensate for any loss to party a. (e) party b shall arrive at the network partners determined by party a according to the time and route stipulated in this agreement, and strictly comply with the start time and end time.",in the event of loss caused to party a by delivery delay due to vehicles detention for the lack of license,Happens,conditional,,in the event EVENT
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","in the event of a force majeure, the party affected thereby shall give immediate written notice to the other.","in the event of a force majeure,",Happens,conditional,,in the event EVENT
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"(f) in the event of delay by vehicle malfunction or traffic accidents, party b shall settle such malfunction or accidents within half an hour.",in the event of delay by vehicle malfunction or traffic accidents,Happens,conditional,,in the event EVENT
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,"7) except for a claim arising out of cremer's intentional misconduct or gross negligence under this agreement, in the event of legal proceedings being instituted against cremer by a third party arising out of ultragenyx's development, processing and commercialization of the product, ultragenyx shall indemnify and keep indemnified cremer in full against all damages, losses, injuries, costs and expenses in connection with such legal proceedings.","in the event of legal proceedings being instituted against cremer by a third party arising out of ultragenyx's development, processing and commercialization of the product",Happens,conditional,,in the event EVENT
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT,"in the event of such requests by the company, the company shall be responsible for the payment of all reasonable travel, lodging and meal expenses incurred in connection with the professional rendering services described in this subsection.",in the event of such requests by the company,Happens,conditional,,in the event EVENT
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,"in the event of termination, neither party, their heirs nor successors shall issue any challenge whatsoever to contest the termination.","in the event of termination,",Happens,conditional,,in the event EVENT
Rental,"In the event of late payments made by the Renter, the Landlord is entitled to impose a $50 fine as late fee.",In the event of late payments made by the Renter,Happens,conditional,,in the event EVENT
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,"in the event of a dispute, the parties shall seek mediation at a third country mutually agreed upon.","in the event of a dispute,",Happens,conditional,,in the event EVENT
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,b. either party may terminate this agreement at any time in the event of a material breach by the other party which remains uncured after thirty days written notice thereof.,in the event of a material breach by the other party which remains uncured after thirty days written notice thereof,termination power,conditional,,in the event EVENT
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,6. this agreement shall terminate in the event of a significant change in the management or ownership of mphase or in the event mphase is the subject of any bankruptcy proceedings.,in the event of a significant change in the management or ownership of mphase,termination power (auto),conditional,,in the event EVENT
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,"in the event of such withdrawal, the company agrees forthwith to take such action as agi may request to publicly evidence that the endorsement has been withdrawn and the company agrees not to hold the business out as having the endorsement.",in the event of such withdrawal,Happens,conditional,,in the event EVENT
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT,"in the event that such delay in payment is more than fifteen (15) days, service provider may terminate this agreement.",in the event that such delay in payment is more than fifteen (15) days,termination power,conditional,,in the event EVENT
Independent Contractor,"In the event that this Agreement is terminated by the Client prior to completion of the Services, but where the Services have been partially performed, the Contractor will be entitled to pro rata payment of the Compensation to the date of termination provided that there has been no breach of contract on the part of the Contractor",In the event that this agreement is terminated by the client prior to completion of the services,Happens,conditional,,in the event EVENT
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"in the event that the parties mutually agree to explore jointly in any manner, design and/or develop new products or improve or modify argo's current products, the parties will negotiate, in good faith, in an attempt to conclude one or more appropriate license agreements prior to either party's use of the intellectual property of the other.","in the event that the parties mutually agree to explore jointly in any manner, design and/or develop new products or improve or modify argo's current products",Happens,conditional,,in the event EVENT
Rental,"In the event that the Renter abandons the premises during the term of this Agreement, the Landlord may terminate this Agreement",In the event that the Renter abandons the premises during the term of this Agreement,termination power,conditional,,in the event EVENT
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"in the event that any such audit reveals that plan_b has underpaid fees to the value of ten (10) percent or more of the total amount of payments for the period covered by the audit, plan_b shall bear the cost of the audit and shall in any event immediately pay to licensor source: data call technologies, sb-2/a, 9/18/2006 the full value of the underpaid or under-reported fees.",in the event that any such audit reveals that plan_b has underpaid fees to the value of ten (10) percent or more of the total amount of payments for the period covered by the audit,Happens,conditional,,in the event EVENT
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,"in the event that reseller (i) refers a registered referral to company, through delivery to company of the lead form attached hereto as exhibit a, and (ii) such registered referral executes an agreement to purchase any of such company products or services, then company shall pay reseller a referral fee, as specified in exhibit b attached hereto.","in the event that reseller (i) refers a registered referral to company, through delivery to company of the lead form attached hereto as exhibit a",Happens,conditional,,in the event EVENT
Property mgmt,"In the event that collection and/or legal proceedings become necessary with regard to the rental of the Property, The Manager shall handle all such proceedings",In the event that collection and/or legal proceedings become necessary with regard to the rental of the Property,Happens,conditional,,in the event EVENT
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT","in the event that one of comware's customers has a problem that is beyond the scope of comware's capabilities, its will address the problem without delay in the best interest of customer service.",in the event that one of comware's customers has a problem that is beyond the scope of comware's capabilities,Happens,conditional,,in the event EVENT
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT,"in the event that hps (or one of its affiliates other than shps) enters into an agreement to provide care management services with a client which is not a client as of the date of this agreement (a ""new client""), shps shall provide such care management services to the new client in accordance with the terms of this agreement.","in the event that hps (or one of its affiliates other than shps) enters into an agreement to provide care management services with a client which is not a client as of the date of this agreement (a ""new client""",Happens,conditional,,in the event EVENT
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,"in the event the company fails to have its attorney issue the required opinion letter within 20 days of a written request from yournetplus.com or its nominee, the company shall be liable for liquidated damages in the amount of 10% interest per 30 days on the value of the shares based on the closing bid price of the company's common stock on the 20th business day following the date it receives written notice from yournetplus.com or their nominee.",in the event the company fails to have its attorney issue the required opinion letter within 20 days of a written request from yournetplus.com or its nominee,Happens,conditional,not,in the event EVENT
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"in the special event of changes to route and time and severe weather (or other force majeure events), party b shall be in touch with party a in time and record such special event on the parcel transfer documents with party a's approval.","in the special event of changes to route and time and severe weather (or other force majeure events),",Happens,conditional,,in the event EVENT
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement","once the holding company is raising funds and generating revenue, the parties will negotiate a monthly fee.",once the holding company is raising funds and generating revenue,Happens,conditional,,once EVENT
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,"once the common stock has been registered, or, after the one year period applicable under rule 144, whichever occurs first, the company at its sole cost and expense have its attorney issue an opinion letter for removal of the legend and release all stock transfer instructions on the common stock, except as maybe required under rule 144.",once the common stock has been registered,Happens,conditional,,once EVENT
Biomass,"once the payment has been received, shi farms will use its best efforts to quarantine product to ensure safe keeping of the product until delivery date as agreed by the parties.",Once the payment has been received,Happens,conditional,,once EVENT
Biomass,either party may terminate this agreement at any time prior to delivery of the product.,prior to delivery of the product.,termination power,conditional,suspend,prior to EVENT
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement","in addition to the minimum volume of product to be manufactured by adma, should adma deliver the minimum volume of product but fail to meet the updated supply plan as provided in exhibit a as attached hereto and made an integral part hereof, then it is agreed upon by the parties that adma shall pay to sanofi pasteur an amount equal to $[***]",should adma deliver the minimum volume of product but fail to meet the updated supply plan as provided in exhibit a as attached hereto and made an integral part hereof,Happens,conditional,,should EVENT
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,"should such purchase orders be subject to alternative rights, xplore shall inform distributor of alternative rights prior to order acceptance.",should such purchase orders be subject to alternative rights,Happens,conditional,,should EVENT
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,"should any participation agreement(s) between company and any fund(s) be terminated effective before the last day of a quarter, company shall be entitled to a fee for that portion of the quarter during which the participation agreement was still in effect, unless such termination is due to misconduct on the part of the company.",should any participation agreement(s) between company and any fund(s) be terminated effective before the last day of a quarter,Happens,conditional,,should EVENT
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,should party a require a comprehensive modification on the development plan of the project outsourced and any subsequent extra cost occur in party b; party a shall bear the corresponding extra service fee.,should party a require a comprehensive modification on the development plan of the project outsourced and any subsequent extra cost occur in party b,Happens,conditional,,should EVENT
Rental,"Such security deposit will be returned to the Renter upon the end of this Agreement, provided the premises are left in the same condition as prior to the occupancy.",upon the end of this Agreement,Happens,conditional,,upon EVENT
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,the service fee of ntd 1.2 million shall be paid upon completion of the business plan and architectural development plan and relevant drawings.,upon completion of the business plan and architectural development plan and relevant drawings,Happens,conditional,,upon EVENT
Property mgmt,"Upon termination, the Manager shall disburse to the Owner any monies in the Manager\'s possession due and owing to the Owner within 3 days from the date of termination",Upon termination,Happens,conditional,,upon EVENT
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,"upon cerus' determination that the protocol epp-029- 886 can be discontinued, cerus shall provide written notice thereof to porex, along with a new purchase order for platelet wafers (the ""new pricing po"").",upon cerus' determination that the protocol epp-029- 886 can be discontinued,Happens,conditional,,upon EVENT
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,"upon approval by cerus of the corrective plan, porex, at no additional expense to cerus, shall then make the corrections and, where applicable, porex shall resubmit the corrected services to cerus.","upon approval by cerus of the corrective plan,",Happens,conditional,,upon EVENT
Biomass,Both Parties agree that once the Parties have agreed to transaction which includes the purchase and sale of the Product that the Buyer will remit payment upon execution of this agreement.,upon execution of this agreement,Happens,conditional,,upon EVENT
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","sierra warrants that it carries general liability insurance of not less than $2 million per occurrence and product liability insurance of not less than $5 million per occurrence and that, upon the execution of this agreement, it will name envision as an additional insured on such policies.",upon the execution of this agreement,Happens,conditional,,upon EVENT
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,"upon execution of this agreement, ehn will issue to dr. murray sufficient shares to represent a 5% equity ownership in ehn.",upon execution of this agreement,Happens,conditional,,upon EVENT
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT,"c. upon reasonable written request of the company which shall be tendered at least 30 days prior the date requested, the professional shall make himself available for the purpose of posing for print ads, making commercials and other promotional materials, or attending promotional events organized by the company once per calendar year.",upon reasonable written request of the company which shall be tendered at least 30 days prior the date requested,Happens,conditional,,upon EVENT
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,"upon the termination of this agreement, whether by expiration of its term pursuant to paragraph 6a or otherwise, the company shall cease all uses of the trademarks and the good sam logo and name in any fashion.",upon the termination of this agreement,Happens,conditional,,upon EVENT
