MSCIINC_02_28_2008-EX-10.10-,"5. limitations of liability (a) msci agrees that neither ms nor its affiliates or subsidiaries (other than msci) (collectively, the ""ms provider group"") and the respective directors, officers, agents, and employees of the ms provider group shall have any liability, whether direct or indirect, in contract or tort or otherwise, to msci for or in connection with this agreement or the transactions contemplated hereby or any actions or inactions by or on behalf of the ms provider group in connection with this agreement and such transactions.","before,interval"
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT","turpin acknowledges and agrees that all work product have been made for the company and that the company shall be the exclusive owner of all right, title, and interest in and to the work product and all intellectual property rights therein.",interval
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT,"upon the termination of this agreement, the trust shall pay the adviser such compensation as may be payable for the period prior to the effective date of such termination.","before,interval,cond_a"
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,"7) except for a claim arising out of cremer's intentional misconduct or gross negligence under this agreement, in the event of legal proceedings being instituted against cremer by a third party arising out of ultragenyx's development, processing and commercialization of the product, ultragenyx shall indemnify and keep indemnified cremer in full against all damages, losses, injuries, costs and expenses in connection with such legal proceedings.","before,interval,cond_a,cond_a,unless"
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement,"now, therefore, for value received and in consideration of the mutual covenants contained herein, the parties agree as follows: article i ""definitions"" for purposes of this agreement, the following terms will have the meanings set forth below: ""base salary"" means the employee's total base salary as of each january 1st exclusive of special payments such as bonuses or commissions, but including any salary reductions made in accordance with section 125 or 401(k) of the code.","after,interval"
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,the blockchain administrator shall have the right to retain copies of such records subject to observance of its confidentiality obligations under this agreement.,
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",this agreement shall be automatically renewed for successive one year periods unless either party gives written notice of termination to the other party at least thirty (30) days prior to the date of expiration.,"before,interval,unless"
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT,"it is expressly agreed that the obligations of the trust hereunder shall not be binding upon any of the trustees, officers, employees, agents or nominees of the trust, or any shareholders of any series of the trust, personally, but bind only the trust property of the trust (and only the property of the fund).",cond_a
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,the first sales plan will be presented to lucid within three (3) months of the signing of this agreement and annual sales plans will be due on november 30 each year.,
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,unless otherwise expressly provided in the applicable statement of work payment to porex of undisputed fees shall be due [*] days following cerus' receipt of the invoice submitted by porex.,"before,after,cond_a,unless"
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT,all payment obligations hereunder shall survive the termination of this agreement in accordance with their respective terms.,
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,mmi will defend and indemnity dragon systems against a claim that the services supplied hereunder infringe a patent or copyright and will pay resulting costs and damages provided that dragon systems (i) promptly informs mmi in writing of the claim and (ii) gives mmi sole control of the defense and all related settlement negotiations.,"interval,cond_a"
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT,"the resulting number shall be the quarterly fee for that quarter, which shall be paid to company during the following month.","after,interval,interval"
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,shipment: cip the seller shall contract on usual terms at his own expenses for the carriage of the goods to the agreed point at the named place of destination and bear all risks and expenses until the goods have been delivered to the port of destination.,"before,interval"
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,"however, the foregoing restriction shall not apply to disclosure made to the board of the directors, management team, and relevant employees who need to know such information, attorneys, accountants, financial counsel, and competent authorities for the purposes of performing this agreement.",interval
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement","if any provision of this agreement is held by an arbitrator to be invalid, void or unenforceable, the remaining provisions shall nevertheless continue in full force, and the stricken provision shall be replaced by a valid, legal and enforceable provision having as nearly as possible the same economic and practical effect.","before,interval,cond_a"
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,"the covenants, representations, warranties and agreements herein set forth shall be mutually binding upon and inure to the mutual benefit of aig and its successors and the company and its successors.","interval,cond_a"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,"the account, or its owners or authorized representatives, shall have access to such books and records at all times during fasc's normal business hours.",interval
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT",the term of this agreement shall be two (2) years from the effective date with automatic annual renewals thereafter provided either party does not provide sixty (60) days notice of termination prior to the renewal date or the agreement is not otherwise terminated as set forth in section 8. 8.,"before,after,interval,interval,cond_a"
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT,5 (b) the headings and sections of this agreement are for convenience only and shall not affect the interpretation of any provision hereof.,interval
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement,"whereas, the employee has performed his duties in an efficient and capable manner; and whereas, the employer is desirous of retaining the services of the employee; and whereas, the employer is desirous of assisting the employee in obtaining life insurance on his own life; and whereas, the employer has determined that this assistance can best be provided under a ""split-dollar"" arrangement; and whereas, the employer and the employee have applied for insurance policies issued by various insurance companies; and whereas, it is now understood and agreed that this split-dollar agreement is to be effective as of the date first listed above; whereas, it is now understood and agreed that this agreement shall supersede any previous split dollar agreements that are currently in place between the employer and employee.","before,interval,interval,cond_a,cond_a"
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,"additionally, licensee shall have the right to use the trademarks, trade names, or logos relating to content (the ""trademarks"").",
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT,"this agreement shall be governed by and construed in accordance with the laws, other than choice of law rules, of the state of florida.",before
WESTERN COPPER - NON-COMPETITION AGREEMENT,"the delivery of any notice, direction or other instrument, or a copy thereof, to a party hereunder will be deemed to constitute the representation and warranty of the party who has delivered it to the other party that such delivering party' is authorized to deliver such notice, direction or other instrument at such time under this agreement (unless the receiving party has 1162967 } -7- actual knowledge lo the contrary) and the receiving party will not be required to make any inquiry to confirm such authority.",unless
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,"2) if the parties cannot agree on a price for the product by the beginning of a following contract year, cremer may refuse to deliver the product to ultragenyx until the parties agreed on a respective price.","before,before,after,interval,cond_a"
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",failure to mark any of the confidential information as confidential or proprietary shall not affect its status as confidential information under the terms of this agreement.,interval
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3,these provisions may not be enforceable under california law.,"interval,cond_a"
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"in the event of vehicle operation failure, party b shall notify party a within two hours and shall manage to deliver party a's parcel to the destination designated by the contract.","before,cond_a,cond_a"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,bank of america total revenue share minus supplier total revenue share for the preceding twelve (12) months • at any time if supplier materially breaches either agreement $[***] c. maintenance services no-charge maintenance services shall be provided from the delivery date through the warranty period.,"interval,interval,cond_a,cond_a"
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,11. intellectual property a) lucid is the sole owner of all trademark symbols and logos under which the products will be sold.,
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT","the party receiving permission to use a registered symbol or trademark will (i) follow all reasonable instructions from the owner regarding that symbol or trademark; and (ii) take all reasonable steps to protect it, including, when appropriate, using the symbols ""®"" or ""™"".","interval,cond_t"
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,"notwithstanding the preceding sentence of this section 5 to the contrary, nothing contained herein shall protect or be deemed to protect the indemnified parties against or entitle or be deemed to entitle the indemnified parties to indemnification in respect of, any liability to the fund or its security holders to which the indemnified parties would otherwise be subject by reason of criminal conduct, willful misfeasance, bad faith or gross negligence in the performance of the blockchain administrator's duties or by reason of the reckless disregard of the blockchain administrator's duties and obligations under this agreement.","before,interval,cond_a"
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,"notwithstanding such acceptance, xplore reserves the right where necessary to amend the orders including without limitation part numbers, special pricing and estimated shipping date, and may at its sole discretion require an amended order from distributor incorporating such changes.","interval,unless"
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement","if any legal action is brought by either of the parties hereto, it is expressly agreed that the prevailing party in such legal action shall be entitled to recover from the other party reasonable attorney's fees in addition to any other relief that may be awarded.","before,interval,cond_a"
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,"all payments due and payable to dr. murray hereunder shall be paid to: michael t. murray, n.d.",
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement,this section shall not apply to information that is: (i) publicly known; (ii) already known to the recipient; (iii) disclosed to a third party without restriction; (iv) independently developed; or (v) disclosed pursuant to legal requirement or order.,"interval,unless"
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT,"hps will pay to shps all care management revenues collected from such new client, and shps will pay a commission to hps equal to five percent (5%) of such amount received by shps from hps pursuant to this section 2.4.","before,interval"
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,"the validity, construction and performance of this agreement shall be governed by the laws of the state of new york.","before,interval"
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT,"consultant shall perform all duties and obligations as described on exhibit a hereto (the ""services"") and agrees to be available at such times as may be scheduled by the company.","before,interval"
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement",these shares will be issued once an exclusivity agreement is reached.,cond_a
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT,c. mkos will have 30-days from receipt of information to determine if they wish to go forward with the technology license.,"interval,interval,cond_a"
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT",3. support services 3.1 xacct will provide reasonable commercial efforts to provide the appropriate solutions for reported incidents.,interval
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,10. notices: notices or other communications required to be given by any party pursuant to this agreement shall be written in english and chinese and delivered personally or sent by registered mail or postage prepaid mail or by a recognized courier service or by facsimile transmission to the address of relevant each party or both parties set forth below or other address of the party or of the other addressees specified by such party from time to time.,"before,interval,interval,cond_a"
MSCIINC_02_28_2008-EX-10.10-,"if any provision of this agreement shall be invalid or unenforceable, such invalidity or unenforceability shall not render the entire agreement invalid.","interval,cond_a"
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,"the parties agree that investment advisor shall be a third party beneficiary of this agreement, and shall have the rights and protections provided to licensee under this agreement.",cond_a
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,"licensee shall notify licensor promptly after it becomes aware of any actual or threatened infringement, imitation, dilution, misappropriation or other unauthorized use or conduct in derogation (""infringement"") of the brand.","after,cond_a"
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement","this agreement shall not be considered accepted, approved or otherwise effective until signed by the appropriate parties.","before,before"
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT,"5) if ultragenyx obtains regulatory approval for the processed product, the parties shall enter into a separate commercial supply agreement for the product that sets forth the forecasting and ordering mechanism for commercial supply of the product, enablement of the manufacturing process in the event of a failure to supply, the term of such commercial supply agreement and other customary terms and conditions.","interval,cond_a,cond_a"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,"g. section 2(n) of the agreement is amended so that the last sentence that previously read: ""the final production quantity by heritage and jasper will count towards the maov requirements"" 2 source: bellring brands, inc., s-1, 9/20/2019 now reads: ""the final production quantity of tetra units by heritage and jasper will count toward the maov requirements for tetra units.""","before,interval"
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement,"marcelo hirsch name: vanderlei ferreira name: marcelo hirsch title: director title: managing director date: may 8, 2019 date: 2/7/2019 xplore technologies corporation of america scansource de mexico s. de r.l. de c.v.",
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,both parties may terminate the agreement with immediate effect - - of either party breaches a material term of the agreement - - in case of a merger or change of key management or control - - in case of bankruptcy or similar.,cond_a
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,"10. sub-distribution the distributor shall not be entitled to engage sub-distributors or any other third party as his sub-agent for sales of the product, without having obtained lucid's prior written approval.","before,interval,unless"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,"(ii) ""ice age 2"" guarantee and royalty: in addition to any outstanding guarantee payments which licensee shall pay to fox as set forth in paragraph 3 of this amendment below, licensee shall pay to fox a minimum recoupable guarantee of ***** dollars (us$*****) on or before ***** (""ice age 2 guarantee""), and *****","before,interval"
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement,"now therefore, the parties, for good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, agree as follows: 1. mphase may apply only the exact logo shown on schedule a of this agreement (the ""lucent co-branding logo""} in approved uses for mphase's goods.","before,interval"
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"if you do not make the extra payment within 60 days from the date we notify you of your share of the deficiency, the amount will be charged as an indebtedness against the contract with interest compounded at the rate of 5% per year.","interval,cond_a"
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement","the above provisions will survive the termination of this agreement, except they will not apply to information that (i) is in the public domain or later becomes available to the public through no breach of this agreement by either party; (ii) is obtained by either party from a third party who had the legal right to disclose the information to that party; (iii) is already in the possession of the receiving party on the date this agreement becomes effective; (iv) is independently developed by either party or (v) is required to be disclosed by law, government regulation, or court order.","before,after,interval,interval,unless"
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,company is not obligated to provide any customer service except as specified in this section.,"cond_a,unless"
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,under no circumstances shall any employees of one party be deemed the employees of the other for any purpose.,interval
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement","a. cool tech shall, in a professional manner, take all steps necessary to market and produce its mobile generation program and its other services (collectively the ""cool tech services"") for clients referred to cool tech by vet tech.","before,interval"
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT","if to sierra: if to lifeusa/envision: mr. michael bentley mr. michael schuett sierra mountain minerals inc. envision health, inc. 1501 west broadway, suite 500 2475 broadway, suite 202 vancouver bc v6j4z6 boulder, co 80304 canada 20.",cond_a
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT,"following the expiration of 90 days from the termination or expiration of this agreement, the company shall cease usage of all publicity, promotion and advertising materials which contain the professional's image, it being the understanding of the parties that during such 90-day period the company shall have the right to use such remaining publicity, promotion or advertising materials as shall then be available to the company.","after,interval,interval"
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement,"""loan value of the policies"" will mean the amount which with loan interest and monthly deductions for the cost of insurance, plus any applicable surrender charge, will equal the cash value of the policies on the next loan interest due date.",interval
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,"no later than <<enter customization documents delivery date>>, supplier shall deliver to bank of america the documents described below for this customization.","after,interval"
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT,"if any provision of this agreement is declared or found to be illegal, unenforceable, or void, then both parties shall be relieved of all obligations arising under such provision, but only to the extent that such provision is illegal, unenforceable, or void.","interval,cond_a"
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2","non-solicitation: during the term and any renewal terms of the agreement, and for a period of one (1) year following the expiration or earlier termination thereof, customer shall not, without kubient's prior written consent, directly or indirectly (i) solicit or encourage any person to leave the employment or other service of kubient; or (ii) hire, on behalf of customer or any other person or entity, any person who has left the employment of kubient within the one (1) year period following the termination or end of that person's employment.","before,before,after,interval,interval,unless"
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,confidential information shall remain the property of the disclosing party.,interval
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,"(a) dr. murray's obligations set out herein shall be performed from the effective date until december 31, 2018 (the initial ""services term"").","before,interval,interval"
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement,"if special circumstances warrant additional time, the decision will be rendered as soon as possible, but not later than 120 days after receipt of request for review.","after,after,interval,cond_a"
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,"notice all notices or other communications required or desired to be sent to either of the parties will be invalid, unless made in writing and sent by registered or certified mail, postage prepaid, return receipt requested, or sent by recognized international courier service (e.g., federal express, dhl, etc.) with charges prepaid, or by facsimile or electronic mail which is subject to confirmation by letter.","before,cond_a,unless"
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,licensee may recoup the guarantee forfeiture payment (as defined in paragraph 3 of this amendment below) from the sales of the idiocracy wireless product.,"interval,interval"
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT","no modification, addition to or waiver of the terms and conditions of this agreement shall be effective unless in writing and signed by the party against whom the same is sought to be enforced.","before,interval,cond_a,unless"
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement,if such period is greater than ten (10) business days then this sub-reseller agreement shall be deemed null and void and to be of no effect.,cond_a
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",all underlying methodology utilized by cool tech and vet tech respectively which was created and/or developed by either prior to the date of this agreement and utilized in the course of performing engagements pursuant to this agreement shall not become the property of the other.,"before,before,interval"
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT","xacct's sole liability and licensee's exclusive remedy for damages with respect to the support services under any contract, tort (including negligence), strict liability or other theory, shall be limited to the amount paid by licensee for the support services for the prior 12 months.","before,before,interval"
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,this agreement may not be modified except in a writing signed by the parties.,"before,cond_a,unless"
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,"all monthly owner invoices to charterer for rates and cost items will be paid by charterer within 30 days of invoice date in accordance with owner's normal payment protocols, which will be specified in the applicable invoice.","before,interval,cond_a"
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,duties of party a party a shall provide the following data during the term mentioned above: i. data of rights relevant to the land.,"after,interval"
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,"the company additionally agrees that all purchase orders executed by the company as lessor's agent hereunder shall: (a) condition lessor's obligation to pay for and purchase the equipment on the company's acceptance of such equipment; (b) not permit passage of title or risk of loss for the equipment earlier than such acceptance by the company; (c) not permit the supplier or any other person or entity to retain any security in, or lien on, any of the equipment; and (d) otherwise be on terms and conditions acceptable to lessor in its sole discretion.","before,before,interval"
